267,4	161,9	329,0	332,7	246,7	219,4	280,5	271,8	219,8	346,0	254,1	119,4	268,8	274,2	105,0	225,3	332,6	142,6	321,9	269,6	118,2	208,7	298,2	203,9
247,1	211,8	344,2	213,8	253,5	326,2	271,8	171,0	259,8	185,6	130,4	164,3	336,0	290,5	113,8	158,7	321,5	244,4	183,7	238,1	178,3	296,0	327,9	115,4
178,0	257,6	179,7	122,9	269,1	126,0	231,0	163,6	274,8	324,4	237,9	146,2	298,8	253,7	344,3	129,2	223,8	168,8	291,1	304,7	243,3	171,0	228,0	217,3
131,1	137,4	171,1	154,6	323,0	239,9	190,9	192,6	149,1	196,0	252,8	143,7	301,7	284,7	166,1	136,4	327,4	160,7	161,6	212,1	173,0	148,7	258,6	173,3
288,2	147,9	260,4	124,4	126,8	172,2	177,4	318,7	301,8	316,1	296,2	240,9	329,5	294,7	188,0	190,0	273,2	271,2	307,7	246,3	230,0	328,7	294,7	178,0
128,1	250,4	132,8	239,3	296,8	137,7	164,4	199,0	256,2	139,3	347,2	260,9	323,1	192,0	239,9	218,9	276,4	175,4	182,8	191,8	202,4	217,7	342,9	237,1
231,7	159,0	180,7	343,5	117,3	258,7	284,7	306,1	217,2	125,9	313,7	168,3	267,6	220,5	281,7	160,7	325,5	235,1	286,0	180,8	148,4	108,0	178,9	149,7
308,4	188,3	126,2	120,2	300,7	227,6	194,2	111,1	154,7	239,5	149,4	103,7	286,2	306,4	329,5	157,3	221,2	248,4	300,8	322,1	147,3	172,2	282,9	143,2
295,1	264,0	268,4	105,5	187,9	280,1	265,6	287,1	334,9	187,7	128,4	294,6	161,6	115,3	182,4	187,1	108,5	244,3	347,5	225,9	315,8	278,7	231,0	163,2
175,8	213,3	186,8	326,4	323,5	295,6	108,4	102,0	246,8	112,5	100,1	204,0	214,5	223,2	112,9	224,5	257,1	303,7	177,3	229,0	342,4	203,0	300,3	301,6
125,6	139,6	147,1	133,4	298,9	318,7	273,1	266,3	166,1	127,8	255,7	216,4	340,6	169,3	294,3	239,2	192,1	309,2	341,7	237,4	163,5	175,2	344,9	178,7
282,0	165,6	147,6	316,2	158,1	124,4	304,6	253,5	271,8	185,1	140,4	111,5	322,2	116,2	258,2	101,3	136,2	187,0	284,1	294,9	276,7	308,8	177,6	318,7
200,7	151,5	291,0	148,8	119,9	203,4	304,9	215,2	240,2	315,1	318,7	146,4	235,9	244,4	249,0	199,0	110,2	205,5	326,0	346,4	246,2	217,2	306,6	214,8
177,3	163,7	318,1	330,5	170,3	108,6	323,5	116,0	345,6	324,3	193,6	150,4	285,1	206,8	244,3	322,1	198,9	238,3	293,8	349,6	325,2	187,6	322,4	145,8
107,9	345,7	258,1	198,2	331,5	134,8	128,4	146,0	218,5	161,7	195,1	321,9	208,8	241,3	107,8	253,2	206,2	103,0	170,5	175,9	236,9	269,1	168,4	335,9
161,1	139,5	191,0	120,1	202,8	243,8	144,1	184,4	148,1	254,8	243,2	241,0	144,1	267,8	271,6	116,2	210,2	134,8	100,9	308,5	344,6	183,5	179,1	228,8
217,2	224,4	119,5	130,4	116,2	229,5	170,6	286,5	249,5	312,7	200,1	324,8	329,1	155,1	118,4	333,2	206,0	319,3	290,4	262,7	261,2	242,3	230,9	308,2
347,2	280,0	236,9	259,6	125,7	257,0	316,7	231,4	267,1	234,7	117,4	280,1	249,1	153,4	115,4	272,8	222,8	312,3	329,1	212,9	271,0	172,5	270,6	152,8
188,3	292,5	288,7	187,6	244,1	105,8	274,0	164,3	123,0	141,3	222,4	206,4	256,1	166,8	344,9	105,3	254,1	323,1	106,7	292,3	230,6	331,7	240,5	335,8
309,7	136,2	322,6	214,4	311,0	301,6	294,6	133,5	143,1	283,2	223,3	281,5	260,7	211,3	108,7	323,0	202,7	135,7	330,3	344,3	184,2	107,6	322,3	331,1
338,7	331,0	249,7	297,0	267,6	168,3	316,7	250,1	331,9	101,4	332,1	117,7	213,7	309,2	177,4	281,8	291,3	285,2	227,1	193,8	193,2	199,1	240,2	309,5
108,3	315,0	321,9	340,2	270,0	349,3	172,6	140,8	319,0	241,2	165,4	300,8	267,7	319,8	339,5	142,6	223,0	316,6	196,3	215,8	323,7	157,7	345,5	232,6
