13	58
14	81
14	203
14	573
15	28
15	33
17	613
18	710
18	730
23	425
26	269
26	324
29	11
31	22
31	906
34	763
34	923
39	640
40	257
43	838
44	284
45	344
48	241
48	494
49	86
50	60
50	656
51	55
53	7
53	316
53	795
57	98
57	678
58	224
58	587
59	693
60	104
60	232
60	808
63	345
65	912
67	268
69	154
72	235
73	688
74	23
74	66
74	766
75	128
79	407
80	139
81	908
82	344
82	948
85	552
91	69
91	288
92	255
93	436
95	55
96	675
97	86
98	3
99	747
101	982
106	277
106	945
108	262
109	580
109	965
110	98
110	236
110	259
111	851
112	257
113	45
114	222
115	893
116	10
118	308
120	543
124	532
124	776
128	975
129	551
130	882
135	642
137	80
137	391
140	641
141	466
142	333
143	430
144	20
144	856
145	297
147	969
148	621
150	278
150	870
151	632
151	788
152	66
152	469
155	123
155	565
157	10
158	140
159	614
161	112
161	227
161	793
163	205
164	425
169	800
173	344
173	528
174	903
176	394
178	853
181	415
182	643
186	201
187	591
187	707
189	561
194	181
195	788
197	591
197	769
198	9
199	880
201	442
202	497
203	56
204	21
205	93
205	237
205	617
206	776
212	44
215	616
216	87
218	70
218	927
220	55
220	356
222	680
222	878
223	17
224	244
224	284
224	959
230	532
230	836
231	372
233	578
234	887
237	122
237	138
237	327
237	794
240	422
242	821
244	277
245	656
246	497
247	40
252	623
254	577
255	487
255	844
258	615
259	227
259	527
262	190
262	327
262	856
263	566
264	153
269	224
272	971
273	623
273	938
279	211
279	915
281	422
282	683
283	258
284	893
284	924
286	616
287	84
287	209
287	413
288	19
288	204
288	489
293	131
293	354
299	795
300	784
301	313
302	802
304	6
304	138
304	340
305	140
307	190
309	883
311	906
313	93
315	43
318	324
319	624
323	657
325	43
325	327
326	842
327	279
327	871
330	888
332	461
333	167
334	807
335	162
335	198
337	755
338	444
338	594
342	300
343	610
344	4
345	103
345	432
345	866
346	67
346	81
347	355
348	648
348	732
350	76
351	10
351	159
351	760
353	230
354	734
356	926
361	141
363	44
363	123
365	136
365	654
368	813
368	851
371	131
371	578
372	587
373	634
375	583
376	839
378	667
378	813
380	440
381	445
382	597
385	412
386	21
387	673
389	373
392	599
393	414
394	412
394	823
396	637
397	662
397	769
398	356
398	473
399	631
404	335
404	351
405	361
405	385
407	503
411	226
411	254
412	387
414	716
414	726
416	91
416	870
417	678
420	338
420	553
421	218
421	312
421	454
421	473
421	743
423	379
423	482
425	244
427	353
430	422
431	173
431	572
431	784
432	585
432	824
434	841
435	771
437	584
438	243
440	128
440	546
442	177
444	809
445	712
446	423
448	396
449	73
453	397
455	157
456	746
458	196
459	232
459	609
459	616
460	150
461	387
463	605
464	608
464	769
465	435
465	775
468	101
468	252
470	69
470	624
473	432
475	744
477	175
479	277
481	23
481	370
481	689
483	365
484	219
484	488
485	65
485	733
486	31
486	423
486	577
486	705
488	43
490	556
494	174
495	176
496	206
496	271
498	53
499	19
499	648
500	237
501	570
501	701
501	706
502	13
502	237
503	543
504	66
506	336
507	702
513	487
514	106
514	395
515	410
515	465
515	570
515	714
518	496
519	13
525	181
526	161
533	679
534	157
536	112
538	561
538	623
538	698
540	583
544	69
544	604
546	364
546	725
548	6
549	82
549	666
550	554
551	254
551	479
552	197
555	151
556	250
558	96
559	343
560	45
560	426
561	673
564	117
565	310
565	435
565	490
570	21
572	413
574	65
577	270
579	345
583	336
584	142
584	261
584	453
586	572
587	663
589	676
589	686
590	572
592	504
592	673
593	494
595	123
598	358
601	486
601	677
606	303
607	580
608	462
608	640
609	219
610	69
611	118
611	551
619	281
621	279
622	221
629	302
629	419
630	145
631	562
635	651
636	269
637	204
639	412
640	179
642	603
643	282
643	444
644	461
647	37
647	213
648	105
651	489
653	379
653	470
653	470
656	226
656	292
656	303
657	344
659	564
660	47
660	229
660	349
661	187
661	275
663	564
664	285
667	160
668	81
669	334
672	318
672	404
672	524
674	238
675	403
676	146
678	78
678	105
687	599
689	217
689	475
690	82
691	209
693	206
693	431
699	66
699	252
699	335
701	348
704	205
705	75
706	567
707	282
708	166
708	261
709	510
712	141
713	353
713	383
713	406
714	461
716	37
716	351
717	24
717	171
719	366
720	120
721	206
722	256
722	383
725	449
726	327
728	389
730	31
730	551
732	459
734	216
734	454
736	98
736	529
737	28
737	505
740	26
740	257
747	541
748	166
748	483
749	30
749	100
750	324
754	123
754	127
755	418
760	369
761	430
762	153
763	509
767	33
772	381
773	443
775	117
775	319
775	429
777	182
777	239
777	283
778	246
780	393
781	28
782	127
783	364
783	401
784	367
790	11
791	88
792	18
793	232
796	462
797	367
798	298
801	37
803	196
803	263
807	26
809	63
809	79
809	417
810	29
811	9
811	151
811	468
814	139
814	411
817	110
817	131
820	71
821	193
822	156
823	18
824	356
826	279
827	304
828	311
829	269
829	416
829	427
829	436
830	149
830	240
831	116
831	256
837	33
837	219
840	383
842	387
843	55
845	28
845	63
847	149
